Dates,Stock,Last Price,Open Price,High Price,Low Price,Volume,Bid Price,Ask Price,Market Order Bid Size,Market Order Ask Size,Average Volume 30 Day,Moving Average 20 Day,Turnover / Traded Value,RSI 14 Day,Moving Average 20 Day,Moving Average 50 Day,Moving Average 200 Day,Volatility 30 Day,Implied Volatility Mid,Current Market Cap,VWAP Price
28/10/2019,ALT US Equity,2.02,1.98,2.03,1.98,24871,2.01,2.03,#N/A N/A,#N/A N/A,88982.9667,1.9625,49534.6,51.8078,1.9625,2.0382,2.5492,30.983,#N/A N/A,30.9828,1.9891
29/10/2019,ALT US Equity,1.98,2.02,2.02,1.98,24233,1.98,2.02,#N/A N/A,#N/A N/A,86248.7,1.9665,48437.31,47.2132,1.9665,2.034,2.5458,30.043,#N/A N/A,30.3692,1.9986
30/10/2019,ALT US Equity,1.95,2,2,1.95,47673,1.95,1.96,#N/A N/A,#N/A N/A,84575.1333,1.9695,93736,44.0574,1.9695,2.0304,2.5418,29.168,#N/A N/A,29.9091,1.9661
31/10/2019,ALT US Equity,1.91,1.97,1.9818,1.9,89828,1.92,1.93,#N/A N/A,#N/A N/A,84024.6667,1.971,174563.7,40.1992,1.971,2.0262,2.5356,27.564,#N/A N/A,29.2956,1.9441
1/11/2019,ALT US Equity,1.95,1.93,1.9697,1.9,50100,1.93,1.96,#N/A N/A,#N/A N/A,81677.9,1.9735,96968.07,45.3529,1.9735,2.0226,2.5299,28.418,#N/A N/A,29.9091,1.9353
4/11/2019,ALT US Equity,1.93,1.9401,1.959,1.9,45980,1.93,1.94,#N/A N/A,#N/A N/A,80776.2333,1.975,88619.2,43.3416,1.975,2.0196,2.525,27.311,#N/A N/A,29.6023,1.9272
5/11/2019,ALT US Equity,1.92,1.95,1.95,1.91,57085,1.92,1.94,#N/A N/A,#N/A N/A,78886.4667,1.9745,109670.3,42.3308,1.9745,2.0176,2.5177,27.217,#N/A N/A,29.449,1.9211
6/11/2019,ALT US Equity,1.8699,1.92,1.92,1.86,91231,1.86,1.87,#N/A N/A,#N/A N/A,79001.5,1.972,172681.3,37.5995,1.972,2.0158,2.5104,28.206,#N/A N/A,28.6805,1.8928
7/11/2019,ALT US Equity,1.8565,1.87,1.88,1.83,66011,1.84,1.86,#N/A N/A,#N/A N/A,73261.2333,1.9698,122264.7,36.4268,1.9698,2.0133,2.5026,27.343,#N/A N/A,28.475,1.8522
8/11/2019,ALT US Equity,1.84,1.85,1.86,1.82,73777,1.82,1.84,#N/A N/A,#N/A N/A,70202.6,1.9638,135056.8,34.98,1.9638,2.0089,2.4948,27.422,#N/A N/A,28.2219,1.8306
11/11/2019,ALT US Equity,1.78,1.82,1.8291,1.75,121114,1.78,1.8,#N/A N/A,#N/A N/A,70258.6333,1.9543,216416.7,30.2717,1.9543,2.0023,2.4877,28.081,#N/A N/A,27.3016,1.7867
12/11/2019,ALT US Equity,1.75,1.79,1.84,1.75,77380,1.75,1.76,#N/A N/A,#N/A N/A,67275.3667,1.9393,139145.9,28.2259,1.9393,1.9953,2.4812,28.415,#N/A N/A,26.8415,1.7984
13/11/2019,ALT US Equity,1.76,1.78,1.8,1.75,132591,1.78,1.79,#N/A N/A,#N/A N/A,69426.9,1.9258,234675.7,29.9259,1.9258,1.9885,2.4734,28.511,#N/A N/A,26.995,1.7699
14/11/2019,ALT US Equity,1.61,1.7,1.7,1.5207,573769,1.6,1.62,#N/A N/A,#N/A N/A,86315.6333,1.9068,903480.9,21.6447,1.9068,1.9795,2.4655,38.281,#N/A N/A,24.6943,1.5744
15/11/2019,ALT US Equity,1.61,1.6,1.65,1.58,181282,1.6,1.63,#N/A N/A,#N/A N/A,87941.4,1.8863,292817.4,21.6447,1.8863,1.9713,2.4569,38.281,#N/A N/A,24.6943,1.615
18/11/2019,ALT US Equity,1.56,1.65,1.66,1.53,192017,1.54,1.56,#N/A N/A,#N/A N/A,92587.5333,1.8653,299172.5,19.5529,1.8653,1.9599,2.448,38.442,#N/A N/A,23.9274,1.5581
19/11/2019,ALT US Equity,1.53,1.53,1.57,1.51,167963,1.53,1.54,#N/A N/A,#N/A N/A,90446.9333,1.8413,258499.8,18.4037,1.8413,1.9465,2.4395,38.604,#N/A N/A,23.4673,1.5388
20/11/2019,ALT US Equity,1.55,1.54,1.63,1.53,149377,1.57,1.58,#N/A N/A,#N/A N/A,94069.4667,1.8178,235289.1,21.7074,1.8178,1.9335,2.4307,39.091,#N/A N/A,23.774,1.5803
21/11/2019,ALT US Equity,1.67,1.57,1.68,1.57,301284,1.65,1.67,#N/A N/A,#N/A N/A,102318.2333,1.8013,494554.6,37.9427,1.8013,1.9239,2.423,44.796,#N/A N/A,25.6146,1.6413
22/11/2019,ALT US Equity,1.62,1.66,1.67,1.62,83349,1.62,1.64,#N/A N/A,#N/A N/A,103563.0333,1.7833,136285.8,34.7127,1.7833,1.9113,2.4154,45.269,#N/A N/A,24.8477,1.6352
25/11/2019,ALT US Equity,1.65,1.61,1.66,1.58,98189,1.63,1.65,#N/A N/A,#N/A N/A,105927.5,1.7648,159941.1,38.1166,1.7648,1.8999,2.4088,43.647,#N/A N/A,25.3078,1.6305
26/11/2019,ALT US Equity,1.65,1.65,1.66,1.61,111020,1.63,1.65,#N/A N/A,#N/A N/A,106444.7667,1.7483,181098.5,38.1166,1.7483,1.8895,2.4019,43.697,#N/A N/A,25.3078,1.6311
27/11/2019,ALT US Equity,1.66,1.65,1.68,1.62,80808,1.65,1.68,#N/A N/A,#N/A N/A,105013.3,1.7338,134105.6,39.3393,1.7338,1.8807,2.3949,43.685,#N/A N/A,25.4612,1.6595
28/11/2019,ALT US Equity,1.66,1.65,1.68,1.62,80808,1.65,1.68,#N/A N/A,#N/A N/A,105013.3,1.7338,134105.6,39.3393,1.7338,1.8807,2.3949,43.685,#N/A N/A,25.4612,1.6595
