Dates,Stock,Last Price,Open Price,High Price,Low Price,Volume,Bid Price,Ask Price,Market Order Bid Size,Market Order Ask Size,Average Volume 30 Day,Moving Average 20 Day,Turnover / Traded Value,RSI 14 Day,Moving Average 20 Day,Moving Average 50 Day,Moving Average 200 Day,Volatility 30 Day,Implied Volatility Mid,Current Market Cap,VWAP Price
26/8/2016,CELH US Equity,0.717,0.733,0.747,0.663,21882,0.717,0.743,#N/A N/A,#N/A N/A,18011.3,0.725,15948.65,47.4544,0.725,0.7347,0.6965,41.463,#N/A N/A,82.56,0.7267
29/8/2016,CELH US Equity,0.747,0.7,0.75,0.68,3084,0.69,0.743,#N/A N/A,#N/A N/A,18104.1,0.7273,2233.72,56.4132,0.7273,0.7329,0.6969,42.7,#N/A N/A,86.016,0.7239
30/8/2016,CELH US Equity,0.687,0.74,0.74,0.687,13305,0.687,0.727,#N/A N/A,#N/A N/A,18347.9,0.7233,9643.3,41.2613,0.7233,0.7297,0.697,49.863,#N/A N/A,79.104,0.725
31/8/2016,CELH US Equity,0.687,0.707,0.707,0.687,1263,0.687,0.727,#N/A N/A,#N/A N/A,17933,0.7212,879.26,41.2613,0.7212,0.7269,0.6973,49.863,#N/A N/A,79.104,0.6967
1/9/2016,CELH US Equity,0.717,0.712,0.717,0.697,18381,0.687,0.72,#N/A N/A,#N/A N/A,18332.7,0.7205,13053.04,49.1769,0.7205,0.7247,0.6977,51.592,#N/A N/A,82.56,0.7101
2/9/2016,CELH US Equity,0.717,0.712,0.717,0.697,75,0.687,0.713,#N/A N/A,#N/A N/A,16765.5,0.7205,53.5,49.1769,0.7205,0.7247,0.6977,51.958,#N/A N/A,82.56,0.7101
5/9/2016,CELH US Equity,0.717,0.712,0.717,0.697,75,0.687,0.713,#N/A N/A,#N/A N/A,16765.5,0.7205,53.5,49.1769,0.7205,0.7247,0.6977,51.958,#N/A N/A,82.56,0.7101
6/9/2016,CELH US Equity,0.713,0.687,0.713,0.667,17580,0.677,0.713,#N/A N/A,#N/A N/A,16292.7,0.7187,12122.52,48.3965,0.7187,0.7228,0.6981,51.486,#N/A N/A,82.176,0.6894
7/9/2016,CELH US Equity,0.67,0.707,0.707,0.66,14670,0.677,0.703,#N/A N/A,#N/A N/A,16352,0.7148,10046.86,39.5989,0.7148,0.7199,0.6984,55.116,#N/A N/A,77.184,0.6851
8/9/2016,CELH US Equity,0.713,0.667,0.713,0.667,2346,0.687,0.71,#N/A N/A,#N/A N/A,16244.3,0.7143,1591.6,49.4875,0.7143,0.7182,0.6988,58.528,#N/A N/A,82.176,0.6784
9/9/2016,CELH US Equity,0.7,0.697,0.7,0.697,14007,0.69,0.707,#N/A N/A,#N/A N/A,16672.7,0.7143,9801.96,46.941,0.7143,0.7167,0.6992,58.779,#N/A N/A,80.64,0.6999
12/9/2016,CELH US Equity,0.71,0.7,0.71,0.7,1308,0.693,0.713,#N/A N/A,#N/A N/A,15855.9,0.7147,921.18,49.0582,0.7147,0.7153,0.6998,51.241,#N/A N/A,81.792,0.7043
13/9/2016,CELH US Equity,0.693,0.697,0.697,0.693,4158,0.693,0.7,#N/A N/A,#N/A N/A,15559.4,0.7135,2896.23,45.7794,0.7135,0.7137,0.7005,49.537,#N/A N/A,79.872,0.6964
14/9/2016,CELH US Equity,0.69,0.69,0.69,0.687,10470,0.687,0.693,#N/A N/A,#N/A N/A,15439.1,0.7113,7204.15,45.1298,0.7113,0.7122,0.7012,49.541,#N/A N/A,79.488,0.6882
15/9/2016,CELH US Equity,0.693,0.69,0.695,0.69,10716,0.673,0.7,#N/A N/A,#N/A N/A,15671.2,0.7093,7414.83,45.9557,0.7093,0.711,0.702,48.708,#N/A N/A,79.872,0.6919
16/9/2016,CELH US Equity,0.687,0.673,0.688,0.667,4773,0.667,0.69,#N/A N/A,#N/A N/A,15639.8,0.7075,3242.11,44.5126,0.7075,0.7098,0.7028,48.751,#N/A N/A,79.104,0.6795
19/9/2016,CELH US Equity,0.683,0.68,0.69,0.667,13665,0.683,0.7,#N/A N/A,#N/A N/A,15100.5,0.7055,9356.72,43.7724,0.7055,0.7089,0.7036,47.878,#N/A N/A,78.72,0.6847
20/9/2016,CELH US Equity,0.683,0.683,0.683,0.67,2616,0.67,0.697,#N/A N/A,#N/A N/A,14878.1,0.7038,1786.28,43.7724,0.7038,0.7083,0.7043,46.846,#N/A N/A,78.72,0.6817
21/9/2016,CELH US Equity,0.673,0.67,0.673,0.667,15273,0.67,0.673,#N/A N/A,#N/A N/A,15099.6,0.7017,10194.38,41.3785,0.7017,0.7082,0.705,47.002,#N/A N/A,77.568,0.6673
22/9/2016,CELH US Equity,0.683,0.67,0.683,0.667,38700,0.667,0.68,#N/A N/A,#N/A N/A,16133.4,0.6998,26020.38,44.6391,0.6998,0.7082,0.7058,46.843,#N/A N/A,78.72,0.6724
23/9/2016,CELH US Equity,0.683,0.667,0.683,0.667,12171,0.667,0.683,#N/A N/A,#N/A N/A,16516.6,0.6982,8240.27,44.6391,0.6982,0.7078,0.7068,46.166,#N/A N/A,78.72,0.6772
