Dates,Stock,Last Price,Open Price,High Price,Low Price,Volume,Bid Price,Ask Price,Market Order Bid Size,Market Order Ask Size,Average Volume 30 Day,Moving Average 20 Day,Turnover / Traded Value,RSI 14 Day,Moving Average 20 Day,Moving Average 50 Day,Moving Average 200 Day,Volatility 30 Day,Implied Volatility Mid,Current Market Cap,VWAP Price
18/3/2022,UPST US Equity,125.47,114.3,126.35,113.91,14864182,125.38,125.47,#N/A N/A,#N/A N/A,13342811.83,122.9652,1812197000,52.895,122.9652,113.9165,186.1607,167.156,#N/A N/A,10546.5228,121.9255
21/3/2022,UPST US Equity,125.85,124.04,133.8,122.7535,14454190,125.85,125.99,#N/A N/A,#N/A N/A,13616289.2,122.7552,1847569000,53.0367,122.7552,114.0649,185.9698,166.816,#N/A N/A,10578.4641,127.7901
22/3/2022,UPST US Equity,127.23,113,130.31,112,24467917,127.16,127.25,#N/A N/A,#N/A N/A,14267344.43,123.0912,2990551000,53.5827,123.0912,114.2705,185.7559,166.545,#N/A N/A,10694.4615,122.1606
23/3/2022,UPST US Equity,118.67,123.25,127.3316,118,11116956,118.6,118.67,#N/A N/A,#N/A N/A,14499867.2,123.4032,1354482000,49.7211,123.4032,114.3555,185.5392,164.651,#N/A N/A,9974.9411,121.7982
24/3/2022,UPST US Equity,115.45,120,120.83,111.41,11260560,115.39,115.5,#N/A N/A,#N/A N/A,14655230.67,122.5982,1290175000,48.3107,122.5982,114.2433,185.3543,163.884,#N/A N/A,9704.2803,114.5667
25/3/2022,UPST US Equity,103.77,114.255,114.74,99.75,13385483,103.75,103.76,#N/A N/A,#N/A N/A,14726972.57,120.9927,1407552000,43.4914,120.9927,113.9505,185.1411,166.194,#N/A N/A,8722.5047,105.2042
28/3/2022,UPST US Equity,108.16,104.3,109.62,101.0834,10223961,108.09,108.1,#N/A N/A,#N/A N/A,14843388.1,118.5012,1078434000,45.6845,118.5012,113.9287,185.0544,166.116,#N/A N/A,9091.5111,105.4962
29/3/2022,UPST US Equity,120.17,111.95,122.97,110.28,16719395,120.11,120.18,#N/A N/A,#N/A N/A,15159766.93,117.2397,1971157000,51.258,117.2397,114.1099,185.0318,168.618,#N/A N/A,10101.0253,117.8256
30/3/2022,UPST US Equity,114.14,117.12,125.4,112.65,12155227,114,114.14,#N/A N/A,#N/A N/A,14935141.67,115.1,1452135000,48.5635,115.1,114.1945,184.9873,140.919,#N/A N/A,9594.1668,119.4774
31/3/2022,UPST US Equity,109.09,113.797,116,108.88,9253048,109,109.11,#N/A N/A,#N/A N/A,14115644.53,113.0515,1037595000,46.3654,113.0515,114.2561,184.9377,140.549,#N/A N/A,9169.6833,112.1926
1/4/2022,UPST US Equity,109.03,109.26,111.99,105.5601,8758793,109,109.02,#N/A N/A,#N/A N/A,13677926.67,112.0895,951475500,46.3385,112.0895,114.2937,184.8513,139.214,#N/A N/A,9164.64,108.6668
